head,subhead,shortname,description,date,playlist,created_at,updated_at,front_file_name,front_content_type,front_file_size,front_updated_at,image1_file_name,image1_content_type,image1_file_size,image1_updated_at,image2_file_name,image2_content_type,image2_file_size,image2_updated_at
MELODIE ZHAO sous la direction de Jonathan Haskell avec un groupe de musiciens de l'OSR,"Samedi 27 août 2011, 20h30 au château de Tannay",Melodie Zhao,"Pianiste suisse d’origine chinoise, Mélodie Zhao est née en 1994 en Gruyère, dans une famille de musiciens. Elle a commencé l’étude du piano à trois ans déjà. A neuf ans, elle entre au Conservatoire de Genève, puis quatre ans plus tard à la Haute Ecole de Musique de Genève, dans la classe de Pascal Devoyon.",2011-08-27 20:30:00,"---
- Maurice Ravel (1875-1937) Sonatine (Modéré - Mouvement de menuet - Animé)
- Franz Liszt (1811-1886) Rhapsodie hongroise n°6
- Wolfgang-Amadeus Mozart (1756-1791) Concerto pour piano et orchestre n°21, K.467
  (Allegro - Andante - Allegro vivace assai)
- Entracte
- Samuel Barber (1910-1981) Adagio pour cordes
- Dmitri Chostakovitch (1906-1975) Concerto pour piano, trompette et orchestre à cordes
  op.35 (Allegretoo - Lento - Moderato - Allegro con brio)
",2014-04-10 16:16:10.375174,2014-04-10 16:30:36.464414,FotosMittel2_melodie_zhao.jpg,image/jpeg,46674,2014-04-10 16:16:08.316407,FotosMittel3_melodie_zhao.jpg,image/jpeg,50809,2014-04-10 16:16:09.061399,,,,
ELIZABETH SOMBART avec l'Orchestre Solidaire Résonnance de Barcelone sous la direction de Diego Miguel-Urzanqui,"Dimanche 28 août 2011, 17h au château de Tannay",Elizabeth Sombart,"Née à Strasbourg, Elizabeth Sombart a commencé l’étude du piano à sept ans. Elle entre au Conservatoire de sa ville natale et se produit pour la première fois en public à l’âge de onze ans. Après avoir obtenu le Premier Prix National de piano et de musique de chambre à seize ans, elle décide de quitter la France pour perfectionner son art à Buenos Aires avec Bruno-Léonardo Gelber. Elle complète ensuite sa formation auprès de grand maîtres Peter Feuchtwanger à Londres et Sergiu Celibidache avec lequel elle poursuivra des études de phénoménologie musicale.",2011-08-28 17:00:00,"---
- Frédéric Chopin (1810-1849) Concerto en Fa mineur pour piano et orchestre, op.21
  n°2
- Frédéric Chopin (1810-1849) Andante spianato et Grande Polonaise brillante pour
  piano et orchestre, op.22 en mib majeur
- Entracte
- Wolfgang-Amadeus Mozart (1756-1791) Symphonie en Sol mineur, n°40 KV 550 (Molto
  allegro - Andante - Menuetto Allegretto - Allegro Assai)
",2014-04-10 16:35:45.145607,2014-04-10 16:44:57.752635,Elisabeth_Sombart_elizabeth_sombart_portrait.jpg,image/jpeg,61827,2014-04-10 16:35:43.05875,60497358_640.jpg,image/jpeg,13346,2014-04-10 16:35:44.198222,,,,
"Camille Thomas, violoncelle, et l'Orchestre du Festival, musiciens de l'OSR sous la direction de Jonathan Haskell","Samedi 22 août, à 20h.",Camille Thomas,"Nommée aux Victoires de la Musique dans la catégorie Révélation Soliste instrumentale de l’année 2014, la jeune violoncelliste franco-belge Camille Thomas est considérée comme une des musiciennes les plus prometteuses de sa génération. Elle vient de remporter le 1er Prix au Concours de l’Union européenne de radiotélévision (UER) et elle est nommée «NewTalent of the Year 2014». ",2015-08-22 20:00:00,"---
- Ludvig van Beethoven (1770-1827)
- Ouverture de Coriolan en ut mineur, op. 62
- Antonin Dvorak (1841-1904)
- Danse slave op. 46 n°8
- Camille Saint-Saëns (1835-1904)
- Concerto pour violoncelle n°1 en la mineur, op. 33
",2015-05-05 10:45:41.727821,2015-07-21 23:35:06.880428,_DSC7444.jpg,image/jpeg,22374,2015-05-05 10:45:40.737825,_DSC7444.jpg,image/jpeg,22374,2015-05-05 10:45:41.292441,,,,
"Renaud Capuçon, violon et Jérôme Ducros, piano, en duo","Dimanche 23 août, à 17h.",Renaud Capuçon et Jérôme Ducros,"Né à Chambéry en 1976, Renaud Capuçon étudie au Conservatoire National Supérieur de Musique de Paris, puis avec Thomas Brandis à Berlin, et Isaac Stern. En 1998, Claudio Abbado le choisit comme Konzertmeister du Gustav Mahler Jugendorchester, ce qui lui permet de parfaire son éducation musicale avec Pierre Boulez, Seiji Ozawa, Daniel Barenboim et Franz Welser-Moest. En 2000, il est nommé « Rising Star » et « Nouveau talent de l’Année » aux Victoires de la Musique puis « Soliste instrumental de l’année » en 2005.  En 2006,  il reçoit le Prix Georges Enesco décerné par la Sacem.",2015-08-23 17:00:00,"---
- Wolfgang Amadeus Mozart (1756 -1791)
- Sonate pour violon et piano en sol majeur, K 301
- Erich Wolfgang Korngold (1897-1957)
- Sonate en ré majeur, op. 6
- Wolfgang Amadeus Mozart (1756 -1791)
- Sonate pour violon et piano n°28 en mi mineur, K 304
- Richard Strauss (1864-1949)
- Sonate en mi bémol majeur, op. 18
",2015-05-05 11:01:33.391664,2015-07-21 23:31:05.063942,thumbs_renaud-capucon-c-darmigny_1.jpg,image/jpeg,41666,2015-05-05 11:01:31.519154,renaud-capucon-c-darmigny_1.jpg,image/jpeg,85602,2015-05-05 11:01:32.12015,PHO3062e2e4-cc5e-11e2-a3c6-772827f74e0f-805x453.jpg,image/jpeg,68367,2015-05-05 11:01:32.852822
"Trio Wanderer (Vincent Coq, piano, Jean-Marc Phillips-                                                                             Varjabédian, violon, Raphaël Pidoux, violoncelle)","Samedi 30 août, à 20h au château de Tannay",Trio Wanderer,"Célébré dans la presse internationale pour un jeu d'une extraordinaire sensibilité, une complicité presque télépathique et une parfaite maîtrise instrumentale, le Trio Wanderer est actuellement une des meilleures formations  de musique de chambre au monde. Formé auprès de grands maîtres comme Menahem Pressler du Beaux-Arts Trio et les membres du Quatuor Amadeus, il est lauréat de nombreux concours et ses membres animent aujourd'hui les master-classes de musique de chambre du Festival de la Roque d'Anthéron. Le Trio Wanderer a été distingué par les Victoires de la musique à trois reprises comme meilleur ensemble instrumental de l'année. Il a fêté ses 25 ans en 2012. Tous issus du Conservatoire National Supérieur de Musique de Paris, ses membres ont choisit le voyage comme emblème. Celui, intérieur, qui les lie étroitement à Schubert et au romantisme allemand et celui, ouvert et curieux, qui explore le répertoire de Haydn à la musique d'aujourd'hui.",2014-08-30 20:00:00,"---
- 'Schubert: Trio op.100, en Mi bémol majeur, n°2'
- Entracte
- 'Tchaikovsky: Trio op.50, en La mineur'
",2014-04-14 17:06:13.1839,2014-04-14 17:23:17.379482,Trio_Wanderer_2_(photo_Marco_Borggreve).jpg,image/jpeg,137391,2014-04-14 17:06:11.611645,Trio_Wanderer_(photo_Marco_Borggreve).JPG,image/jpeg,1822476,2014-04-14 17:06:12.038215,,,,
"L’ensemble Intermezzo, sous la direction d’Ahmed Hamdy, avec la collaboration de Joan Mompart, récitant","Samedi 30 août, à 16h30 au château de Tannay. Concert gratuit à l’intention des enfants et des familles",Intermezzo,"C'est à l'intention des enfants de quelques amis  que Ravel écrivit cette suite, tout d’abord pour piano à quatre mains qu’il transposa ensuite pour orchestre symphonique.  « Ma mère l'Oye »,  composée d'après des contes de Charles Perrault, témoigne du goût du musicien pour une thématique « enfantine » que l'on retrouva également plus tard dans « L'Enfant et les Sortilèges ». La version pour piano était conçue pour être exécutée par de jeunes mains et sa création publique, le 20 avril 1910, fut l'œuvre de deux enfants âgés respectivement de six et dix ans. Elle fut publiée en 1910 avec le sous-titre «  Cinq Pièces enfantines » et comporte cinq mouvements. La version orchestrale est présentée ici avec des textes inédits inspirés des contes de Perrault",2014-08-30 16:30:00,"---
- 'Ravel: Ma Mère l’Oye, suite pour orchestre d’après des contes de Charles Perrault'
- Pavane de la Belle au bois dormant
- Petit poucet
- Laideronnette, Impératrice des Pagodes
- Les entretiens de la Belle et la Bête
- Le jardin féerique
",2014-04-30 13:54:12.369732,2014-04-30 13:58:00.869604,phpThumb_generated_thumbnailjpg.jpeg,image/jpeg,8529,2014-04-30 13:54:08.380826,_DSF1045-1.jpg,image/jpeg,7827668,2014-04-30 13:54:08.748159,,,,
"Renaud Capuçon, violon, avec l’Orchestre du Festival sous la                                  direction de Jonathan Haskell","Dimanche 24 août, à 17h au château de Tannay",Rendau Capuçon,"Les « Variations Musicales de Tannay »  accueillent en ouverture du Festival 2014 le grand violoniste Renaud Capuçon. Né à Chambéry en 1976, Renaud Capuçon est entré au conservatoire de sa ville natale à 4 ans, puis il intègre le Conservatoire national supérieur de musique de Paris à l’âge de 14 ans. Il en ressort trois ans plus tard avec un premier prix de musique de chambre et un premier prix de violon. Durant les années qui suivent, il participe à de nombreux concours internationaux, et intègre  l’Orchestre des jeunes Gustav Malher (en tant que pre¬mier violon) sous la direction de Claudio Abbado. Il entreprend en parallèle une impressionnante carrière de soliste, mais également de chambriste.",2014-08-24 17:00:00,"---
- 'Rossini: La scala di Seta'
- 'Mozart: Adagio et Grande fugue (pour cordes)'
- 'Bach: Concerto en La mineur BWV 1041'
- Entracte
- 'Bach: Concerto en Mi majeur BWV 1042'
- 'Beethoven: Symphonie No.1 en Do'
",2014-04-30 22:34:58.656415,2014-04-30 22:38:35.69046,pfile151202_activity11109.jpg,image/jpeg,2180311,2014-04-30 22:34:55.179303,renaud-capucon.jpg,image/jpeg,2747327,2014-04-30 22:34:56.372404,IMG_0647.jpg,image/jpeg,90177,2014-04-30 22:34:58.160408
"Avi Avital, mandoline, avec l’Orchestre du Geneva Camerata sous la direction de David Greilsammer","Dimanche 31 août, à 17h au château de Tannay",Avi Avital,"Né en 1978, Avi Avital a commencé la mandoline à l’âge de huit ans. Après avoir étudié à l’Académie de Musique de Jérusalem, il poursuit sa formation au Conservatoire Cesare Pollini de Padoue avec le mandoliniste Ugo Orlandi. Il y apprend tout le répertoire original pour mandoline. En 2007, il gagne le premier prix du célèbre concours pour solistes « Aviv Competition» et devient ainsi le premier mandoliniste à recevoir cette reconnaissance. Il est également nominé en 2010 pour les prestigieux « Grammy Awards », dans la catégorie du Meilleur Soliste Instrumental. Avi Avital a fortement élargi le répertoire et les horizons de la mandoline, lui offrant un nouveau souffle, faisant ainsi découvrir son instrument à de nouveaux publics dans le monde entier. Il s’est produit à de nombreuses reprises aux Etats-Unis, en Europe, en Afrique du Sud et en Asie, dans les salles les plus prestigieuses et avec de nombreux orchestres de grande renommée internationale.",2014-08-31 17:00:00,"---
- 'Johann Christophe Friedrich Bach: Symphonie en ré mineur'
- 'Jean-Sébastien Bach: Concerto pour clavecin en ré mineur, interprété à la mandoline'
- Entracte
- 'Johann Bernhard Bach: Suite en sol mineur, ouverture'
- 'Carl Philipp Emanuel Bach: Concerto pour flûte en ré mineur, interprété à la mandoline'
",2014-04-30 14:55:40.80406,2015-05-05 10:43:41.779411,Avi_Avital_1_©_Uwe_Arens_DG.jpg,image/jpeg,35689,2014-04-30 14:55:38.23593,Avi_Avital_2_©_Uwe_Arens_DG.jpg,image/jpeg,393831,2014-04-30 14:55:38.6873,,,,
"Edgar Moreau, violoncelle et Pierre-Yves Hodique, piano","Jeudi 28 août, à 20h au château de Tannay",Edgar Moreau et Pierre-Yves Holdique,"Né en 1994 à Paris, le jeune Edgar Moreau commence le piano à quatre ans ainsi que le violoncelle avec Carlos Beyris. En 2009, il reçoit le prix « Jeune Soliste » du concours Rostropovitch, puis se distingue au prestigieux concours Tchaïkovski alors qu’il n’a que 17 ans. Invité dans de nombreux festivals – l’hiver dernier encore aux Sommets Musicaux de Gstaad, Edgar Moreau a été élu en 2013 aux Victoires de la Musique dans la catégorie « Révélation soliste instrumental de l’année ». Accompagné par l’orchestre du festival, il avait remporté l’an dernier un très beau succès aux Variations Musicales de Tannay. C’est pourquoi nous sommes particulièrement heureux de l’accueillir une nouvelle fois, en duo, avec Pierre-Yves Hodique. Admis à l'unanimité au Conservatoire de Paris en 2008,  Pierre-Yves a étudié le piano avec Jean-François Heisser et Marie-Josèphe Jude et la musique de chambre avec Daria Hovora puis Claire Désert. Lauréat de plusieurs prix, il vient d’enregistrer avec Edgar Moreau un CD chez Erato/Warner qui est déjà RTL d'OR et Diapason d'or «découverte».",2014-08-28 20:00:00,"---
- 'Beethoven: Sonate pour violoncelle et piano n°2 en sol mineur, op.5 n°2'
- 'Brahms: Sonate pour violoncelle et piano n°1 en mi mineur, op.38'
- Entracte
- 'Prokoviev: Sonate pour violoncelle et piano en ut majeur op.119'
- 'Chopin: Introduction et Polonaise brillante en ut majeur, op.3'
- 'Paganini: Variations Moses'
",2014-04-30 23:21:42.288878,2014-05-04 13:35:08.950389,Edgar_Moreau(c)Julien_Mignot-ERATO.jpg,image/jpeg,3741033,2014-04-30 23:21:34.614164,E.Moreau(c)Julien_Mignot-ERATO.jpg,image/jpeg,4850257,2014-04-30 23:21:37.326032,Piere-Yves_Hodique_(c)_Caroline_Doutre.JPG,image/jpeg,1270547,2014-04-30 23:21:40.178753
"Laure Favre-Kahn, piano, dans un spectacle « Chopin...Confidences » accompagnée par la voix de Charles Berling","Jeudi 27 août, à 21h.",Laure Favre-Khan,"“Du célèbre disque de Dinu Lipatti à celui de Jean-Marc Luisada, sans oublier Rubinstein et quelques autres, Laure Favre-Kahn réussit ce miracle de les faire oublier tous. Parce qu’elle allie la rigueur et la grâce, la pudeur de la nostalgie et l’engagement expressif d’une âme qui se raconte ; parce qu’elle possède aussi une sonorité raffinée avec des couleurs subtiles et multiples, un art de la flexion, de la nuance, une respiration qui vient du cœur ; parce qu’elle est virtuose et poète et qu’elle sait faire ses charmants croquis de poèmes qui résonnent longtemps. Parce que, en fait, elle fait redécouvrir ces valses comme des bijoux toujours neufs.” Classique d’or RTL, Alain Duault",2015-08-27 21:00:00,"---
- Un portrait musical intime et passionné (Mazurkas, valses, préludes et nocturnes)
",2015-05-05 11:15:36.645557,2015-05-30 17:43:27.269082,13CD1202LFK_0317.JPG,image/jpeg,3733532,2015-05-05 11:15:26.931417,13CD1202LFK_0317.JPG,image/jpeg,3733532,2015-05-05 11:15:31.693868,,,,
